,dayofweek,mintemp,maxtemp,rain
235,1,53.1,82.0,0.01
99,6,69.1,89.1,0.0
81,1,52.0,70.0,0.0
255,1,42.1,64.9,0.0
350,4,36.0,50.0,0.36
76,6,52.0,64.0,0.0
148,3,71.1,89.1,0.0
159,7,71.1,84.9,0.0
344,6,21.9,37.9,0.0
237,6,52.0,79.0,0.0
304,1,21.0,39.0,0.0
347,7,32.0,46.0,0.0
184,5,70.0,87.1,0.0
43,4,41.0,59.0,0.0
150,2,73.0,91.9,0.0
14,7,19.0,37.9,0.18
166,2,77.0,97.0,0.0
129,4,66.9,89.1,0.0
121,2,73.0,91.9,0.79
175,4,72.0,93.0,0.0
163,3,80.1,95.0,0.0
361,7,9.0,27.0,0.25
238,7,48.2,57.2,0.18
33,7,46.9,64.9,0.0
211,3,61.0,84.9,0.0
131,2,71.1,89.1,0.13
176,6,73.9,93.0,0.02
275,2,35.6,53.1,0.29
39,7,28.0,43.0,0.0
300,1,30.0,46.9,0.0
140,5,69.1,84.9,0.0
222,6,57.0,68.0,0.01
32,7,28.9,37.0,0.0
30,2,44.1,64.0,0.0
70,7,48.9,71.1,2.05
222,2,54.0,77.0,0.11
296,2,35.1,51.1,0.0
339,2,21.2,35.1,0.0
1,6,34.0,48.0,0.48
184,2,69.1,84.0,0.0
67,1,41.0,68.0,0.01
199,2,62.6,79.0,0.79
299,6,16.0,36.0,0.0
342,1,24.1,36.0,0.8
289,2,23.0,33.1,0.0
223,1,54.0,71.1,0.18
80,1,48.9,62.1,0.2
284,7,37.0,63.0,0.0
231,7,57.9,73.0,0.25
68,7,41.0,64.9,0.0
161,7,75.9,99.0,0.0
148,6,70.0,86.0,0.0
99,3,54.0,73.0,0.0
79,5,55.9,70.0,0.0
334,2,37.0,59.0,0.0
336,5,17.1,34.0,0.0
295,4,33.1,60.1,0.44
289,5,45.0,64.9,0.02
360,1,26.1,35.6,0.0
259,5,46.9,70.0,0.0
309,3,24.1,44.1,0.0
252,4,48.0,66.0,0.0
97,6,63.0,81.0,0.0
8,4,50.0,62.1,0.18
2,2,37.9,52.0,0.1
257,7,54.0,79.0,0.0
14,4,36.0,53.1,0.19
362,7,30.9,42.1,0.0
231,5,52.0,72.0,0.0
292,7,37.4,51.8,0.21
247,2,46.0,64.0,0.0
323,6,17.1,32.0,0.05
67,3,48.0,64.0,0.0
217,7,66.9,91.9,0.0
45,4,48.0,64.0,1.44
307,1,28.0,61.0,0.0
339,4,35.1,48.9,0.01
92,4,66.0,82.9,1.05
201,6,59.0,75.9,0.14
278,2,42.8,62.1,0.19
228,7,54.0,71.1,1.58
270,3,27.0,45.0,0.5
317,3,3.9,28.0,0.11
69,6,52.0,75.9,0.0
320,2,1.0,30.9,0.0
29,4,46.0,55.4,0.24
79,2,48.9,66.0,0.0
40,7,43.0,64.0,0.0
259,4,32.0,46.9,0.82
333,1,12.9,36.0,0.0
144,1,69.1,87.1,0.0
289,3,36.0,54.0,0.0
68,2,48.0,64.0,0.0
318,4,35.1,57.0,0.8
140,4,68.0,86.0,0.77
316,3,19.0,39.9,0.05
191,2,64.0,82.0,0.0
49,7,39.9,63.0,0.0
308,5,21.0,37.9,0.0
319,1,10.9,32.0,0.01
129,2,71.1,86.0,0.0
94,4,62.1,75.9,0.0
158,3,75.0,93.9,0.77
112,4,62.6,75.0,0.0
363,1,34.0,46.9,0.0
215,2,69.1,87.1,1.53
241,2,51.1,82.0,0.0
116,1,66.9,84.0,0.0
182,5,70.0,84.9,0.0
235,3,51.1,73.9,0.0
339,1,18.0,27.0,0.02
105,5,68.0,87.1,0.0
223,5,57.9,75.0,0.27
116,3,66.9,84.0,0.0
188,5,71.1,86.0,0.07
2,3,33.8,46.9,0.37
45,1,34.0,44.1,0.0
218,4,66.9,86.0,0.0
227,2,55.4,75.9,0.02
5,2,34.0,51.1,0.0
208,2,66.9,87.1,0.67
219,5,60.1,91.9,0.0
193,1,64.0,90.0,0.25
356,6,8.1,33.1,0.0
315,4,25.0,45.0,0.1
39,1,43.0,55.9,0.0
204,3,63.0,75.2,0.79
109,3,64.0,82.0,0.0
62,6,51.1,73.9,0.01
351,4,17.1,36.0,0.0
357,4,3.9,21.9,0.0
248,1,45.0,64.0,0.06
227,4,55.0,69.1,0.0
338,2,18.0,44.1,0.0
119,4,73.0,93.0,0.0
261,2,50.0,73.9,0.0
89,2,57.9,73.0,0.0
145,2,73.9,89.1,0.0
267,3,41.0,64.9,0.99
65,2,51.1,64.0,0.0
132,5,69.1,84.0,0.07
224,7,57.0,78.1,0.0
173,6,70.0,84.9,0.0
110,2,64.0,84.0,0.0
44,5,48.0,64.0,0.0
265,5,42.1,59.0,0.0
61,2,46.9,60.1,0.76
10,1,30.0,36.0,0.0
335,6,21.0,37.0,0.07
195,1,63.0,86.0,0.0
108,1,55.0,71.1,0.19
177,3,71.1,88.0,0.0
341,2,24.1,37.9,0.03
263,1,44.1,64.9,0.0
238,5,52.0,75.9,0.0
